,gene,strategy,QALYs,Life-Years,OC Incidence (Mortality),EC Incidence (Mortality),Total Cost,ICER,Cancer Incidence (Mortality)
36,PMS2,"Hyst-BSO: 35, Survey: 30",22.18,47.39,0.00% (0.00%),0.08% (0.03%),"$12,108.27 ",Dominated,0.08% (0.03%)
37,PMS2,"Hyst-BSO: 40, Survey: 30",22.37,47.39,0.00% (0.00%),0.14% (0.06%),"$14,515.22 ",Dominated,0.14% (0.06%)
38,PMS2,"Hyst-BSO: 50, Survey: 30",22.57,47.38,0.00% (0.00%),0.33% (0.12%),"$17,024.22 ",Dominated,0.33% (0.12%)
39,PMS2,Survey Alone: 30,22.53,47.27,0.69% (0.51%),2.21% (0.55%),"$18,988.75 ",Dominated,2.90% (1.07%)
40,PMS2,"Hyst-BSO: 40, Survey: 35",22.51,47.38,0.00% (0.00%),0.17% (0.08%),"$10,434.89 ",Dominated,0.17% (0.08%)
41,PMS2,"Hyst-BSO: 50, Survey: 35",22.77,47.38,0.00% (0.00%),0.44% (0.17%),"$13,818.31 ",Dominated,0.44% (0.17%)
42,PMS2,Survey Alone: 35,22.71,47.23,0.93% (0.69%),2.97% (0.74%),"$16,467.51 ",Dominated,3.90% (1.44%)
43,PMS2,Hyst-BSO: 35,22.25,47.38,0.00% (0.00%),0.09% (0.05%),"$6,810.95 ",Dominated,0.09% (0.05%)
44,PMS2,Hyst-BSO: 40,22.56,47.38,0.00% (0.00%),0.19% (0.09%),"$5,888.41 ",Dominated,0.19% (0.09%)
45,PMS2,Hyst-BSO: 50,23.04,47.36,0.00% (0.00%),0.68% (0.29%),"$4,470.24 ",$0.00 ,0.68% (0.29%)
46,PMS2,No Intervention,22.82,46.76,3.53% (2.52%),11.50% (3.32%),"$4,676.97 ",Dominated,15.03% (5.84%)
47,PMS2,Two-Stage Approach,23.04,47.4,0.00% (0.00%),0.19% (0.09%),"$8,834.69 ",Dominated,0.19% (0.09%)
